FE1,FE2,FE3,FE4,FE5,FE6,FE7,FE8,FE9,FE10,FE11,FE12,FE13,FE14,FE15,FE16,FE17,FE18,FE19,FE20,FE21,FE22,FE23,FE24,FE25,FE26,FE27,FE28,FE29,FE30,FE31,FE32,Age,Race,Gender,Education,Industry,Occupation,Hours,Years,WorkSituation,OOP1,OOP2,OOP3,OOP4,OOP5,FO1,FO2,FO3,FO4,FO5,FO6,FO7,FO8,FO9,FO10,FO11,FO12,FO13,FO14,FO15,FO16,FO17,FO18,FO19,FO20,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,GO1,GO2,GO3,GO4,GO5,GO6,GO7,GO8,GO9,GO10,GO11,GO12,GO13,class,ID
7,7,2,6,7,7,6,7,7,1,6,6,1,2,6,6,5,6,6,7,6,7,6,6,2,2,7,1,2,2,7,2,28,1,1,5,7,Warehouse Manager,45,27,6,7,6,6,7,6,4,4,5,5,4,2,5,2,2,5,5,4,4,5,4,2,4,4,5,5,5,5,4,4,5,5,4,3,2,4,5,3,2,2,3,1,1,1,2,7,7,6,2,7,3,2,2,3,1,2,2,1,3,574
6,6,2,5,5,5,6,5,5,5,5,5,1,5,5,5,5,4,5,5,5,5,5,6,2,2,5,4,4,4,5,4,13,1,1,6,4,Physical Therapist,40,8,1,5,4,4,4,5,4,4,4,4,4,4,4,3,3,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,2,10
7,7,1,6,6,7,7,7,6,1,6,6,1,1,6,6,2,6,6,5,5,5,6,7,1,1,7,1,1,1,7,6,46,1,2,3,4,Administrative Assistant,40,26,1,6,6,4,6,4,4,3,4,5,4,5,5,4,5,5,4,5,4,4,4,4,3,5,4,4,5,5,5,5,5,5,5,5,5,3,3,4,1,1,1,1,1,1,1,7,7,6,3,6,3,6,4,6,4,2,4,6,3,46
6,5,4,5,6,4,4,3,4,6,5,6,2,2,5,6,3,6,6,6,3,5,5,6,2,2,7,2,3,2,6,6,17,1,1,6,3,Pharmacist,40,7,1,3,3,4,5,5,4,3,4,3,3,4,4,3,5,4,5,4,4,5,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,3,3,6,3,3,3,3,3,5,5,5,4,5,3,3,3,4,5,6,5,5,2,411
7,6,2,6,7,6,6,6,7,1,6,6,1,1,7,6,3,6,6,6,6,5,5,5,2,3,5,3,2,3,6,6,45,1,2,2,8,cashier,35,36,1,5,6,4,5,6,4,4,4,4,5,4,4,4,5,4,5,5,4,4,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,4,5,5,5,4,5,5,4,4,3,4,3,3,3,286
6,6,2,6,6,6,6,6,6,2,6,6,2,2,6,6,2,6,5,6,6,6,6,6,2,2,3,2,2,2,6,6,24,1,3,6,3,adjunct instructor (undergrad,40,25,5,3,3,2,3,3,4,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,2,4,4,4,4,5,5,5,5,4,4,5,3,3,2,3,1,1,1,2,1,1,1,5,6,5,6,6,3,6,3,3,3,3,3,3,3,62
6,7,2,6,5,7,6,7,7,6,6,5,7,2,5,6,2,5,6,4,5,6,5,5,1,2,6,4,2,2,5,6,28,,1,5,8,Sales Director,40,23,1,6,5,5,6,5,4,4,4,5,4,4,5,3,4,3,5,4,4,5,4,3,4,4,4,5,4,5,5,5,5,5,4,3,4,4,5,4,5,3,3,2,3,3,2,5,6,5,5,6,5,5,6,6,3,2,5,3,3,410
6,5,4,4,5,4,4,4,5,3,4,4,5,4,4,5,4,4,4,3,3,5,4,4,4,4,5,4,5,4,4,4,47,1,2,5,10,GED Test Chief Examiner,40,47,1,4,4,3,4,3,4,3,4,3,3,4,4,2,4,3,4,3,3,3,2,3,4,4,4,3,4,4,4,4,4,3,3,4,2,3,3,2,4,5,5,5,4,4,3,4,3,4,3,3,2,3,2,2,2,3,2,2,2,162
7,7,1,7,7,7,7,7,7,1,6,6,1,1,6,6,1,7,6,5,5,5,6,7,1,1,7,1,1,1,7,6,20,1,2,2,10,sales manager,45,15,1,5,5,3,3,2,5,4,4,5,5,5,4,4,5,5,5,4,4,4,4,5,5,4,4,5,3,5,5,5,4,4,5,4,4,3,4,5,3,1,2,1,2,1,2,5,6,6,6,5,3,3,3,3,2,1,2,3,3,321
6,5,2,6,5,5,5,5,5,3,5,5,2,2,5,4,4,4,3,4,4,4,4,5,2,3,5,3,3,3,5,3,27,1,2,5,4,Medical technologist,40,28,1,3,4,2,3,3,4,3,4,3,4,4,4,3,3,4,4,4,3,3,3,3,3,4,4,4,4,5,4,4,4,5,4,4,3,3,4,3,4,2,2,2,3,2,2,5,5,6,4,4,2,4,4,4,4,3,3,5,2,11
6,5,5,5,7,6,6,5,5,4,6,6,5,5,5,6,5,5,7,6,5,6,6,5,6,6,5,6,5,5,6,5,18,5,1,5,3,Admin,40,10,5,6,4,4,5,5,4,3,4,4,5,4,4,2,3,2,4,2,4,4,4,4,3,3,4,4,5,5,4,4,5,4,4,4,5,4,4,4,5,4,5,5,5,6,4,6,5,5,7,5,5,5,4,5,5,2,6,5,2,351
5,6,2,6,6,6,6,6,6,2,6,5,2,2,6,6,3,6,5,6,5,6,6,5,3,2,6,2,2,3,6,3,38,1,1,5,1,Forestry,40,38,1,5,6,5,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,3,3,2,4,4,3,3,3,3,3,2,2,2,5,5,5,5,5,3,4,5,4,3,3,4,3,3,217
6,6,2,6,6,6,6,6,6,2,6,6,6,2,6,6,1,6,6,7,5,5,6,6,2,2,7,2,2,2,6,6,19,6,1,6,4,QA Manager,45,10,6,6,6,5,5,5,4,4,4,4,4,4,4,4,5,3,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,3,2,2,3,2,2,2,2,5,5,5,4,5,4,5,5,5,4,2,2,4,3,98
6,6,2,6,6,6,6,6,6,2,6,6,1,1,6,6,3,5,5,4,4,4,4,6,2,1,6,2,1,4,6,5,40,1,2,6,3,Teacher,45,36,1,5,5,2,5,2,4,4,4,4,4,5,5,3,4,5,3,3,3,3,3,3,2,4,4,5,5,5,5,5,5,5,5,5,4,4,3,4,1,1,3,1,1,1,1,4,5,4,4,6,2,3,4,4,2,3,2,4,3,565
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7,47,1,2,2,10,office worker,40,38,1,7,7,1,7,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,4,4,4,1,1,1,1,1,7,7,7,4,7,4,7,4,7,1,1,1,1,3,120
6,4,4,4,4,4,4,4,4,3,4,3,4,5,3,4,5,4,4,5,5,5,6,4,3,1,7,1,5,5,4,4,34,1,1,5,8,small business buyer,70,26,5,6,6,4,7,7,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,5,2,466
6,5,2,6,6,5,5,6,6,5,7,6,2,2,5,5,2,6,6,4,4,4,4,6,2,2,6,2,2,2,6,6,13,1,1,5,10,Financial Analyst,40,6,6,5,6,5,6,6,4,4,4,5,4,5,4,3,4,4,3,4,4,5,4,4,3,4,4,4,4,5,4,4,4,4,4,5,3,4,3,3,6,6,6,7,4,6,6,7,6,6,7,6,6,6,7,7,3,3,3,3,3,340
7,7,1,6,6,7,6,7,6,6,7,7,7,1,6,7,1,7,7,5,3,5,4,5,2,2,2,2,1,5,6,7,16,1,2,5,3,teacher,36,11,1,6,7,2,6,5,5,4,4,4,5,5,4,2,4,3,4,2,2,2,2,4,4,5,5,5,5,5,5,5,5,4,4,4,3,3,4,2,3,2,1,2,1,1,1,5,5,4,4,5,5,5,6,6,3,6,6,6,3,520
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,2,1,7,3,1,2,7,7,28,,2,5,10,Social Assistant Supervisor,40,26,1,6,6,2,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,1,1,1,7,6,6,6,6,6,6,6,5,1,7,7,2,3,362
6,6,2,5,6,5,5,6,5,2,6,5,2,2,6,5,2,5,5,6,6,6,6,5,2,2,5,2,2,3,6,5,19,1,1,5,10,database Administrator,40,11,6,6,7,5,6,5,5,4,5,4,4,5,4,5,4,5,4,4,5,5,4,4,5,5,4,5,4,5,5,5,5,4,4,5,4,4,4,4,3,2,3,4,2,3,1,7,5,6,5,3,2,5,4,3,1,3,3,2,3,107
2,2,5,2,1,1,2,2,2,6,2,1,6,6,1,1,7,1,1,4,3,4,2,2,1,2,6,6,5,6,2,1,24,1,1,5,4,charge nurse,40,20,1,7,7,6,7,7,5,5,5,5,5,4,4,5,4,5,5,5,4,4,4,4,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6,7,6,6,7,6,7,7,7,7,7,7,7,7,7,7,1,4,6,1,493
7,7,7,7,7,6,6,7,7,7,6,7,1,1,1,5,3,6,6,7,6,6,5,7,1,2,6,5,1,1,6,6,32,1,1,2,7,operations manager,62,30,6,7,6,6,7,7,5,5,4,4,4,5,4,3,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,1,1,1,1,1,1,1,7,7,7,5,7,6,5,7,6,1,1,1,1,3,71
